HITId	tweet	sentiment	directness	annotator_sentiment	target	group
NULL	اختبار بسيط لمعرفة اذا كان واحد وسخ هل يستخدم كلمة حثالة لوصف مجموعة من البشر؟	NULL	NULL	NULL	NULL	NULL
NULL	Charlie Crist (R, I, D - FL) rumored to demand a recount. #sayfie	NULL	NULL	NULL	NULL	NULL
2899.0	i'm rated r retarded	fearful_abusive_offensive_hateful_disrespectful	indirect	anger_sadness	disability	special_needs
2659.0	في المغرب.. النساء سيحاربن التحرش بالصفارات! @url	normal	direct	confusion_disgust	gender	women
NULL	Yasss brownies &amp; ice cream &#128523; http://t.co/8qLa3JsglG	NULL	NULL	NULL	NULL	NULL
NULL	Amo hangs http://t.co/h8UQDrjeCb	NULL	NULL	NULL	NULL	NULL
NULL	مشان تعرف العالم انو السوري احتوى كل العالم انا بشكرك ديما انك عم تنشري هيك تغريدات بتدل على وقوفك مع الحق	NULL	NULL	NULL	NULL	NULL
1839.0	well job job activist ally immigrants lgbtq community...	normal	indirect	confusion_sadness_shock_indifference_disgust	origin	individual
270.0	@user ok hobi spic	fearful_abusive_offensive_hateful_disrespectful	indirect	shock_indifference	origin	hispanics
1536.0	بول البعير  يحرك اقتصاد العال… @url	normal	indirect	indifference	other	other
1921.0	@user u dont negro	offensive	indirect	shock_disgust	origin	special_needs
NULL	My auto correct makes me sound so FOB	NULL	NULL	NULL	NULL	NULL
4120.0	wish retarded looking. probably friends real life. would nice life.	hateful_normal	indirect	sadness_indifference	gender	left_wing_people
NULL	من نتائج الاتفاق الروسي الأمريكي الطيران الروسي يرتكب مجزرة في ادلب ذهب ضحيتها العشرات من المدنيين بين قتيل وجريح	NULL	NULL	NULL	NULL	NULL
2714.0	@user dont enough gook ching chong badly	normal	indirect	anger_disgust	origin	special_needs
719.0	@user prolly thank mentally retarded fnbse like srsly? comparing global legend glassy dough poin @url	offensive_disrespectful	indirect	sadness_indifference	disability	special_needs
3279.0	@user مانفعهن قانون التحرش؟	normal	indirect	indifference	other	other
4057.0	@user @user ivanka family american jews btw retard	offensive	indirect	anger_indifference	disability	special_needs
4567.0	got called faggot work today	offensive	indirect	anger_disgust	sexual_orientation	individual
NULL	كل يد سوف تمتد على دروز الجبل والشرفاء سوف تقطع ونحنا معك قاىدنا وئام وهاب 	NULL	NULL	NULL	NULL	NULL
NULL	Am so high that birds and planes are my peers	NULL	NULL	NULL	NULL	NULL
2226.0	فيه نهج وسخ بيستخدمه الناس لتسويغ تنمرهم اللي بيتم بالشكل الآتي	offensive	direct	indifference	other	other
2193.0	think hashtags end tweet extreme left feminazi propaganda need @url	normal	indirect	sadness_disgust	other	women
852.0	@user @user جويل مهتم بشغلات الحريم .. @url	abusive_normal	direct	shock	gender	women
2986.0	@user suspicion upstairs old chinaman neighbor feigning mental illness since 3 years ago slamming g @url	offensive_hateful	indirect	anger_indifference	origin	special_needs
1455.0	@user @user @user متاكد أنه  الفيديو بالأردن ؟؟!!وغريب دقة عدد حالات التحرش ١٨٠ ! مع العلم انه… @url	offensive	direct	indifference	other	other
167.0	@user yes retarded leader paper tiger.	hateful	direct	anger_fear_indifference_sadness_disgust	disability	special_needs
3036.0	@user @user ching chong holla wolla give dolla	offensive	indirect	indifference_disgust	origin	other
2788.0	@user وبعد قراءة ما تقيئ به خنازير الدب الداشر أدعو الله ان يجعلك سببا لزيادة غيضهم إلى ان يموتوا كمدا.	abusive_hateful	direct	shock	origin	other
1385.0	@user made angry. cunt.	abusive_hateful	direct	shock_disgust	gender	women
1087.0	@user @user @user okay white.	offensive_normal	indirect	anger_confusion_fear_sadness_disgust	origin	other
1940.0	@user @user هههههه حمير ولا ماكان الفرس ركبوكم مسألة وقت يا خنزير لم يبقى الا القليل شوف وين كنتو وين صرت… @url	hateful	direct	anger_disgust	origin	other
NULL	كأنو تلميح لإقصاء أي رأي آخر الدبشة بعينك مسكبة ورد بعين غيرك والعكس صحيح خلينا نحترم الرأي 	NULL	NULL	NULL	NULL	NULL
3461.0	haha throwback third grade boy said ching chong ching chong pulled back eyes wasnt @url	offensive	indirect	anger_disgust	origin	muslims
NULL	جبران باسيل مسيحي خيب ظن أبناء دينه وجلدته من المسيحيين اللبنانيين بجميع طوائف المسيحيه	NULL	NULL	NULL	NULL	NULL
NULL	Beans that were yellow before Friday night are brown now-a few green leaves curled-frost but not freeze-bean size reduced - top end shrinks	NULL	NULL	NULL	NULL	NULL
NULL	عالم عم تموت جوع وحرق وبرد وتفجير مختلف أنواع الموت موجود ببلادنا لما حدا يفتح تمو بيقلولو خراس انت برا البلد لا عيني مارح نخ…	NULL	NULL	NULL	NULL	NULL
967.0	@user ching chong lookin ass	offensive	indirect	shock_disgust	origin	other
NULL	جبران باسيل يقول سوريا يجب ان تكون في حضننا بدل أن نرميها في حضن الأرهاب	NULL	NULL	NULL	NULL	NULL
NULL	يا جبران باسيل انت شو دخلك بلموضوع الخليجي حتى تصرح بهيك تفاهة؟ افشلت القمة، افشلت العهد، افشلت البلد	NULL	NULL	NULL	NULL	NULL
4014.0	dad: ching chon wong wong ching chong chong	hateful_disrespectful	indirect	sadness_disgust	origin	other
NULL	RT @AbortionFunds: Grateful for the profound hospitality of volunteers who open their homes to patients traveling long distances for abo ...	NULL	NULL	NULL	NULL	NULL
NULL	صراع الجبل رسائل سوريّة لجنبلاط؟ 	NULL	NULL	NULL	NULL	NULL
2609.0	kind retard tells kid share 	offensive	indirect	anger_confusion_fear_indifference_sadness	disability	special_needs
NULL	Wow redskins don't want this	NULL	NULL	NULL	NULL	NULL
NULL	@BryanStars ATL, BVB, SWS, PTV, THE RELAPSE SYMPHONY, SET IT OFF, FAREWELL, MY LOVE, MAYDAY PARADE, FOB, PARAMORE, etc	NULL	NULL	NULL	NULL	NULL
NULL	RT @DonnieWahlberg: On set of #BlueBloods. Hoping there are no birds perched above me... http://t.co/oDhq52QiLe	NULL	NULL	NULL	NULL	NULL
2546.0	وراء كل رجل وسيم إمرأه بايره	hateful	indirect	sadness	gender	women
161.0	enough enough! @user cancel scheduled testimony lying feminazi ford needs @url	fearful_hateful	indirect	anger_confusion_sadness_fear_disgust	disability	special_needs
2488.0	dont want white people using word nigger maybe stop using time yourself???	hateful	indirect	anger_disgust	origin	women
NULL	لو في دولة كان ما صار لي صار من الأساس 	NULL	NULL	NULL	NULL	NULL
NULL	جبران باسيل الرجل الذي لا ينام قدن كلن	NULL	NULL	NULL	NULL	NULL
2241.0	قانون التحرش الجنسي يصطاد أول ضحية له من الحسيمة @url	normal	direct	indifference	gender	women
NULL	قطرلم تبن بيوت أهل الجنوب قطر ساهمت في إعادة بناء البيوت التي دمرت في بنت جبيل وعيناثا وعيث  	NULL	NULL	NULL	NULL	NULL
5435.0	@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas @url	normal	indirect	anger_indifference	other	immigrants
NULL	تركو تركو قاعد بقلب لخسة 	NULL	NULL	NULL	NULL	NULL
NULL	لا أدري كيف سمح لبنان لنفسه بقبول مثل هذا المسخ أن يكون حاضرا في القمة لبنان التنوع والحضارة والفن	NULL	NULL	NULL	NULL	NULL
3840.0	fucking hate queue old cunt stands next you. fuck barbara stand behind ya old bint.	offensive	indirect	anger_shock	gender	women
NULL	اصلا اذا انتخبت او ما انتخبت حا يضلن   	NULL	NULL	NULL	NULL	NULL
226.0	برا يا خنازير يا مخنايث وخذو معكم جونز	offensive	direct	indifference	other	other
NULL	My bf @iamthedannibal loves crows. Thought he might enjoy the last tweet!	NULL	NULL	NULL	NULL	NULL
NULL	RT @grind2times: I don't think I even been in a real relationship...i thought they was real but they were just trash	NULL	NULL	NULL	NULL	NULL
NULL	lmao I s2g having roots with yellow/white hair makes it look so dirty I'm &#128567; http://t.co/SqbYdUiZr8	NULL	NULL	NULL	NULL	NULL
988.0	#في_بلادك_تقدري تكوني عزباء بلا ما يشفقو عليك و يقولولك بايرة؟	normal	indirect	indifference	gender	women
2891.0	think need personal page ig much ratchet retarded shit can't post 	normal	indirect	anger_confusion_sadness_indifference_disgust	other	other
1137.0	@user @user....شوفونا حنونين على عيالنا و نحبهم حتى العالم يتأثر بحبنا لهم،و عيال المسلمين الي تقصفونهم يا خنازير	hateful	indirect	shock	other	arabs
NULL	"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"	NULL	NULL	NULL	NULL	NULL
NULL	I said middle school days as in the ghetto way people... &#8212; and what I am nor here to impress you what are you go... http://t.co/qYpvIKcRfY	NULL	NULL	NULL	NULL	NULL
NULL	@MissYankee @Sportsteamnews Looking at the Royals and wondering what could have been if we didn't decimate the Yankee farm system.	NULL	NULL	NULL	NULL	NULL
1716.0	وينها اربعينيه ثلاثينية او متزوجه محرومه ندردش سوالف منحرفة ثلاثينيه 7bf3230d	offensive	indirect	disgust	gender	women
94.0	@user @user لا لا انت دتحجي بلغة البعران والبشر لا يفهمون البعير و بول البعير	abusive_offensive	direct	indifference	gender	individual
NULL	@DanWolken It's idiotic opinions like this that make polls less than trash. Polls weren't a problem when people with integrity were voting.	NULL	NULL	NULL	NULL	NULL
NULL	ولن ترضى عنك اليهود ولا النصارى ولا المسلمين ولا النباتيين حتى تتبع ملتهم	NULL	NULL	NULL	NULL	NULL
2560.0	@user @user suspicious bombs would make sense false flag @url	normal	indirect	shock_disgust	origin	refugees
5114.0	im gay .1890's gay 1990's gay.i hate filthy faggot queersni love jewsthe jews maccabean era ihate @url	offensive	indirect	anger_confusion_fear_shock	sexual_orientation	indian/hindu
5306.0	@user @user @user okay white	offensive	indirect	anger_confusion_shock_indifference_disgust	origin	other
205.0	وانت بيض الله وجهك والله يستر عليك من خنازير ايران في الكويت . @url	abusive_hateful	direct	indifference	origin	other
4266.0	@user sorry can't translate spic you.	offensive	direct	confusion_fear_shock_indifference_disgust	origin	individual
4513.0	lmao ching chong. sometimes simplest slander funniest	offensive_normal	indirect	sadness_disgust	other	other
88.0	@user @user والله التعوسي انطق طق من الحريم . احسن يستاهل البدو الكلب	offensive	direct	disgust	other	individual
NULL	@daishialopez how could you say such a thing woman?! You have two functioning chest tables to hold your peanut butter and crackers!	NULL	NULL	NULL	NULL	NULL
NULL	طالما الدليل عند القاضي ليش ما بقول وبخلصنا لازم نعرف القاتل 	NULL	NULL	NULL	NULL	NULL
5584.0	@user oh go. classic about.... think found leftist terrorist.	offensive	indirect	confusion_indifference	other	other
NULL	كلامي ان حزب الله الحامي الوحيد للبنان معناه ان في لبنان ما… 	NULL	NULL	NULL	NULL	NULL
914.0	من فوائد بول البعير تحقيق اعلى مراتب الفشل حتى في ابسط العمليات السرية للاستخبارات كعملية  #اغتيال_خاشقجي التي فضحت… @url	abusive_offensive_hateful_disrespectful	indirect	indifference	origin	other
2763.0	@user مأثر عليهم بول البعير…	normal	indirect	indifference	origin	other
NULL	إذا صح الكلام عن قرب توجه جبران باسيل إلى دمشق لدعوة النظام السوري إلى القمة الاقتصادية العربية	NULL	NULL	NULL	NULL	NULL
5573.0	#namibiaholidays - #travel guide tips reviews #africa #tourism #frizemedia @url via @user	normal	indirect	shock_indifference	origin	special_needs
3596.0	@user cunt	offensive	indirect	shock_disgust	origin	other
NULL	انا مش عم صنف حدا	NULL	NULL	NULL	NULL	NULL
5252.0	highkey reason want leave shithole country current political awareness curren @url	fearful_normal	indirect	shock_indifference	other	other
1314.0	ya different cracker daddyncalled cunt pedophile nhe said 18ndie slow ya fuckin toe rags	offensive_hateful	direct	confusion_fear_shock_sadness_disgust	gender	women
5492.0	new neighbor dyke. realized peeks house door opens comes do. @url	offensive	indirect	anger_fear_shock_indifference_sadness	sexual_orientation	special_needs
2521.0	@user @user what's soup taker?	offensive	indirect	confusion_sadness	other	other
NULL	زمن التبعية والتعطيل جبران باسيل وئام طلال و جميع احزاب اذار يمثلون التبعية لنظام الأسدي	NULL	NULL	NULL	NULL	NULL
4824.0	got fucked think they're paying though. way end great fucking night stupid cunt shit.	offensive	indirect	anger_disgust	gender	other
NULL	Jihadis seem to be more upset over the location of the Jedah conference in #Saudi than its purpose #ISIS	NULL	NULL	NULL	NULL	NULL
2586.0	في تقديري أن التحرش في واقعنا يقع بالتالي	offensive	direct	indifference_disgust	other	women
NULL	الله لا يوفقوا 	NULL	NULL	NULL	NULL	NULL
5556.0	done punched bitch face callin esco spic n dont even play race card	normal	indirect	sadness_indifference	other	other
NULL	I grew to hate blonde and primary colored weaves but that wouldn't stop me from requesting some good mouthwork.	NULL	NULL	NULL	NULL	NULL
NULL	"RT @WORIDSTARHlPHOP: When your phone goes off in class and the teacher says ""turn that trash off"" but its a song from your mixtape https://&#8230;"	NULL	NULL	NULL	NULL	NULL
287.0	anyways harry styles could call dirty spic id still munch asshole shame	fearful_abusive_offensive_hateful_normal	direct	anger_sadness_shock_indifference_disgust	origin	other
NULL	Baseball isn't the same without the Yankees in the playoffs &amp; basketball isn't the same without the Lakers in em.	NULL	NULL	NULL	NULL	NULL
1820.0	@user stop giving twat attention. obvious clout chasing	offensive_hateful	indirect	sadness_disgust	gender	women
NULL	وسام الحسن كان رجلا الله يرحمه صار بديار الحق بس شو منشان زهير الصديق و شهود الزور 	NULL	NULL	NULL	NULL	NULL
3351.0	الكلب لا يعض اذن اخوه كذابين خنازير @url	offensive_hateful	indirect	disgust	other	other
NULL	RT @Brandee876: ghetto sour cream http://t.co/1meyQQ7B6G	NULL	NULL	NULL	NULL	NULL
5362.0	shithole country. @url	offensive	indirect	sadness_indifference	origin	immigrants
NULL	كيف يعني حرم الرئيس الحريري؟ للعلم القيادات الكبرى غابت عن هيدا المؤتمر بما فيهن الحريري و تمثلوا…	NULL	NULL	NULL	NULL	NULL
1865.0	@user @user خنزير نجس اتفووووووو عليه خاين عرص وسخ	hateful	direct	shock	origin	individual
2510.0	@user @user complicit 1/2 sentient botox injectionnnyou wanna take twat work knowingl @url	offensive	direct	sadness_disgust	gender	women
44.0	@user shut raghead.....	offensive	indirect	shock_disgust	origin	muslims
NULL	"Can't stand the Yankees but Jeter hitting a home run in his final at bat in NYC would be cool. 

Getting beaned would be better!"	NULL	NULL	NULL	NULL	NULL
NULL	خليهم القوى الأمنيه كذالك الأمر يفتشو على الرخص الأرتوازيهلا لي عنده حفاره عارف يسترزق ولا متوسط المال عارف يدفع حق بئر مياه 	NULL	NULL	NULL	NULL	NULL
NULL	بتصور انو في قيادة حكيمة لحزب الله على رأسها سماحة السيد	NULL	NULL	NULL	NULL	NULL
NULL	معالي لبناني وطني مش سعودي ليسافر 	NULL	NULL	NULL	NULL	NULL
NULL	وهاب عن الخواجا وتشكيل الحكومة 	NULL	NULL	NULL	NULL	NULL
NULL	If someone pushes you too hard today, they may be surprised ho... More for Capricorn http://t.co/3kpy22pi0E	NULL	NULL	NULL	NULL	NULL
NULL	@Wagz This cold we have going around our little hick town had about everyone I know locked in their houses for better than a week. Stay well	NULL	NULL	NULL	NULL	NULL
3057.0	@user مش بس دياثة .لكن الست اللي تطلع بالشكل ده و تسمح لجوزها يبوسها في العلن تبقى منحرفة عن الفطرة السليمة	offensive	direct	indifference	gender	women
NULL	كيف كل زمن وإله أتباعه الزقيفة بإيام الإحتلال السوري للبنان، كان أشهرهم ناصر قنديل زال الوجود العسكري وتبخ… 	NULL	NULL	NULL	NULL	NULL
2485.0	أنا ماغادي نتضامن مع هاد الفيمينستس دالمغرب تايقولو ليا معايير التمييز بين التحرش من إبداء الإعجاب. ديك الساعة نقرر… @url	disrespectful_normal	indirect	sadness	other	women
NULL	RT @VainHumility: Naming my son Caesar. Dawn of the apes is the absolute best movie I've ever seen in my entire life.	NULL	NULL	NULL	NULL	NULL
NULL	Damn I think your redskins lost @KxRxSxB	NULL	NULL	NULL	NULL	NULL
NULL	RT @Royals: #Royals win!! KC with a 2-0 blanking of the Yankees to take the series in the Bronx! #BeRoyalKC	NULL	NULL	NULL	NULL	NULL
NULL	قال شووو؟ ما تكون متل جبران باسيل والكبير فين اذا شد ب ايديه واجريه ما بيوصل لصرمايتو لجبران بالشغل اللي عم يعملو	NULL	NULL	NULL	NULL	NULL
NULL	كل عمرن مع الف تهديد يطلعوا دقيقة على شاشات التلفزيون المحلية مش بالعين الخبرية جبران باسيل على ومقابلة عل…	NULL	NULL	NULL	NULL	NULL
782.0	give bite nigger	fearful_abusive_disrespectful_hateful_normal	indirect	confusion_fear_indifference_sadness_disgust	origin	special_needs
NULL	أريد خطاب واحد للقوات اللبنانية تقول فيه ان الحريرية سياسية كانت خطأ تجاه لبنان وماليته وخطاب واحد عن فساد نبيه	NULL	NULL	NULL	NULL	NULL
NULL	لوسيل إشادة بمساهمة قطر لدعم إنشاء صندوق عربي للاستثمار في التكنولوجيا دعوة المجتمع الدولي لتحمل مسؤولياته تجاه اللجوء…	NULL	NULL	NULL	NULL	NULL
NULL	احترم نفسك	NULL	NULL	NULL	NULL	NULL
NULL	لا ما حدا عم يزايد عليكن بالمقاومة انتو مقدمين الاف الشهداء و اسرائيل بتحسبلكن الف حساب بس جبران باسيل أخطأ بحقكن و حق…	NULL	NULL	NULL	NULL	NULL
3853.0	#sondage #france #migrants	normal	indirect	anger_shock	origin	refugees
2762.0	@user okay asked reply retard	offensive	indirect	anger_sadness	disability	special_needs
3177.0	ching chong chang im tired	disrespectful_normal	indirect	anger_confusion_fear_indifference_disgust	origin	individual
NULL	@PushinUpRoses My current favorite line is Shea Moisture. It's at Target and CVS. Great for dry, curly, and/or colored hair.	NULL	NULL	NULL	NULL	NULL
1630.0	people please stop using word mongo?? yeah sounds funny short mongoloid real @url	fearful_abusive_hateful_disrespectful	indirect	confusion_fear_shock_indifference_disgust	disability	other
2703.0	@user wrote brain cells retard fucking blind lmfao i'm done	offensive	direct	shock_disgust	disability	special_needs
1616.0	ام ناصر طلعت منحرفة	abusive_disrespectful	indirect	indifference	other	individual
2870.0	@user @user dude!!! messi plays hockey retard	offensive_disrespectful	indirect	anger_sadness_shock_indifference_disgust	disability	special_needs
NULL	I'm the biggest redskins dam right now if they get this stop	NULL	NULL	NULL	NULL	NULL
NULL	It's just not the same, #LittleDebbie #Cloud #Cake are not #Twinkies! http://t.co/OOILML6M	NULL	NULL	NULL	NULL	NULL
NULL	بدك تعمل برنامج ينجح؟ حكي عن جبران باسيل مياومو الإعلام	NULL	NULL	NULL	NULL	NULL
NULL	@Huntermoore bout to be in ike a couple hours	NULL	NULL	NULL	NULL	NULL
3795.0	@user @user reality: citizen shithole country qualify asylum.nnreality @url	offensive	indirect	anger_sadness_shock_indifference_disgust	origin	other
NULL	RT @KarenRFM: No-TV-During-the-Week #parenting rule has thrown quite a monkey wrench into #RooseveltsPBS viewing schedule. #DVRtime @wcve #&#8230;	NULL	NULL	NULL	NULL	NULL
2541.0	@user sounds like chinaman saying brexit	offensive	indirect	anger_confusion_fear_indifference_disgust	origin	left_wing_people
3832.0	nigga dang retarded!  @url	fearful_abusive	indirect	anger_shock	origin	special_needs
NULL	You wanna find hoes on here? Just follow the chicks who reply with heart eyes under sex gifs	NULL	NULL	NULL	NULL	NULL
NULL	RT @_WORDtotheWISE: I love when the birds are chirping in the morning #patsgonnasubtweet	NULL	NULL	NULL	NULL	NULL
NULL	RT @TDOT_Italians: Sharing food with your mangia cake friends because they love your food #ItalianProblems	NULL	NULL	NULL	NULL	NULL
5343.0	twat vagina gary! yt people wyld	offensive	indirect	confusion_fear_shock_indifference_disgust	origin	women
NULL	حالتين مر بهم لبنان	NULL	NULL	NULL	NULL	NULL
3130.0	@user @user @user spawned dumbass retarded.	offensive_hateful	indirect	sadness_indifference	disability	special_needs
NULL	@KenSuttling Certainlt not the paddies	NULL	NULL	NULL	NULL	NULL
